name;age;flightNumber;seat;ticketclass;luggageWeight
Liam;80;MBI24;A21;Economy;12.4
Sophia;20;MBI24;E30;Economy;17.7
Lucas;76;MBI24;B13;Economy;9.1
Lucas;45;MBI24;F22;Economy;26.0
Sophia;17;MBI24;E5;Economy;3.0
William;55;MBI24;E24;Economy;22.4
Sarah;19;MBI24;A24;Economy;13.6
Thomas;10;MBI24;A9;Economy;7.2
Mateo;65;MBI24;B2;Economy;32.6
Joshua;2;MBI24;E8;Economy;31.3
Mateo;45;MBI24;B12;Economy;30.8
Julia;2;MBI24;A2;Economy;18.4
Julia;34;MBI24;F20;Economy;16.9
David;65;MBI24;F2;Economy;8.9
Aurora;61;MBI24;E22;Economy;20.1
Mia;52;MBI24;A10;Economy;29.4
William;75;MBI24;B5;Economy;27.3
Anna;62;MBI24;A7;Economy;3.1
Julia;75;MBI24;C20;Economy;22.5
Sophia;7;MBI24;C5;Economy;18.6
Daniel;53;MBI24;A31;Economy;26.3
David;51;MBI24;A17;Economy;20.0
Aurora;87;MBI24;D27;Economy;6.2
Julia;48;MBI24;B10;Economy;18.4
Aurora;63;MBI24;C10;Economy;11.9
Sophia;72;MBI24;C28;Economy;11.7
Mateo;10;MBI24;E5;Economy;13.6
Mateo;60;MBI24;C25;Economy;3.4
David;45;MBI24;F24;Economy;23.4
Aurora;58;MBI24;D7;Economy;14.6
Joshua;80;MBI24;B7;Economy;31.7
Alexander;68;MBI24;E31;Economy;31.3
Mia;36;MBI24;C14;Economy;28.0
Lucas;14;MBI24;A25;Economy;11.2
Mateo;69;MBI24;B20;Economy;11.2
William;8;MBI24;B27;Economy;20.1
Thomas;12;MBI24;C21;Economy;14.7
David;39;MBI24;F21;Economy;27.6
Daniel;76;MBI24;A26;Economy;3.3
Aurora;7;MBI24;E3;Economy;18.1
Mateo;49;MBI24;E11;Economy;12.6
Lucas;55;MBI24;E5;Economy;22.2
Aurora;83;MBI24;A17;Economy;18.3
Micheal;15;MBI24;A15;Economy;3.0
Micheal;76;MBI24;D30;Economy;27.5
Alexander;10;MBI24;B3;Economy;9.2
Oliver;33;MBI24;D27;Economy;30.9
Lucas;38;MBI24;C11;Economy;32.2
Mateo;6;MBI24;C30;Economy;32.7
Sebastian;6;MBI24;C16;Economy;20.2
Aurora;85;MBI24;F19;Economy;29.8
Aurora;7;MBI24;E1;Economy;26.5
Sebastian;32;MBI24;D26;Economy;25.0
Micheal;75;MBI24;A28;Economy;12.2
Joshua;17;MBI24;A16;Economy;22.6
Andrew;36;MBI24;C12;Economy;24.8
Thomas;46;MBI24;F28;Economy;18.0
Sebastian;48;MBI24;D24;Economy;24.2
Thomas;45;MBI24;D31;Economy;2.8
Mateo;3;MBI24;B10;Economy;19.1
Aurora;1;MBI24;C16;Economy;18.2
Alexander;40;MBI24;C26;Economy;10.0
William;52;MBI24;C14;Economy;13.1
Sarah;48;MBI24;D10;Economy;18.1
Micheal;1;MBI24;E25;Economy;19.0
Sebastian;75;MBI24;F6;Economy;13.5
Joshua;75;MBI24;F20;Economy;22.0
Sebastian;2;MBI24;A29;Economy;28.4
Oliver;16;MBI24;F5;Economy;27.1
Daniel;53;MBI24;F26;Economy;27.9
Anna;54;MBI24;F23;Economy;28.6
William;22;MBI24;B9;Economy;17.0
Mia;30;MBI24;A18;Economy;3.1
Mia;14;MBI24;E7;Economy;19.5
Andrew;15;MBI24;F13;Economy;19.0
Mia;8;MBI24;A5;Economy;26.1
Lucas;74;MBI24;A25;Economy;18.8
Lucas;53;MBI24;D7;Economy;16.8
Daniel;78;MBI24;B20;Economy;2.9
Liam;72;MBI24;F27;Economy;28.5
Benjamin;10;MBI24;F11;Economy;4.6
Lucas;39;MBI24;E26;Economy;29.3
David;22;MBI24;C7;Economy;11.4
Lucas;54;MBI24;E22;Economy;13.5
Sebastian;73;MBI24;A20;Economy;8.0
Mia;86;MBI24;C14;Economy;4.6
William;58;MBI24;B1;Economy;21.4
Oliver;35;MBI24;D9;Economy;12.9
Benjamin;52;MBI24;C19;Economy;31.2
Thomas;29;MBI24;C32;Economy;7.0
Sophia;66;MBI24;C3;Economy;15.1
Joshua;21;MBI24;B7;Economy;22.8
Alexander;35;MBI24;B32;Economy;19.2
Benjamin;3;MBI24;E6;Economy;12.2
Micheal;82;MBI24;E26;Economy;17.5
Daniel;79;MBI24;B27;Economy;2.2
Mia;48;MBI24;A29;Economy;12.0
Benjamin;67;MBI24;C14;Economy;14.4
David;63;MBI24;E3;Economy;20.4
Micheal;55;MBI24;A17;Economy;30.9
Thomas;53;MBI24;C14;Economy;15.8
Joshua;20;MBI24;E8;Economy;16.5
Aurora;47;MBI24;C16;Economy;20.7
Julia;9;MBI24;C6;Economy;31.2
Benjamin;38;MBI24;E31;Economy;20.0
Joshua;66;MBI24;C2;Economy;8.0
Alexander;33;MBI24;F30;Economy;5.1
Aurora;58;MBI24;C22;Economy;7.1
Mateo;8;MBI24;E1;Economy;19.5
Sarah;44;MBI24;E24;Economy;22.7
Micheal;26;MBI24;C11;Economy;27.7
Andrew;47;MBI24;F15;Economy;15.5
Andrew;28;MBI24;D18;Economy;23.2
Daniel;56;MBI24;A29;Economy;1.8
Sarah;25;MBI24;C9;Economy;5.0
Alexander;72;MBI24;C9;Economy;13.5
Micheal;85;MBI24;A20;Economy;3.3
Julia;27;MBI24;B3;Economy;29.8
Benjamin;25;MBI24;B12;Economy;27.8
Thomas;87;MBI24;C22;Economy;18.1
Mateo;74;MBI24;E2;Economy;24.4
Sebastian;45;MBI24;A28;Economy;8.3
Thomas;4;MBI24;B1;Economy;23.8
Sebastian;41;MBI24;E20;Economy;2.2
Julia;25;MBI24;B11;Economy;3.2
David;9;MBI24;A32;Economy;26.2
Andrew;62;MBI24;A21;Economy;23.8
Alexander;74;MBI24;B7;Economy;20.3
Sophia;35;MBI24;D17;Economy;9.9
David;37;MBI24;D8;Economy;9.3
Sophia;19;MBI24;F8;Economy;23.8
William;82;MBI24;B8;Economy;16.9
Julia;70;MBI24;D32;Economy;26.5
Lucas;4;MBI24;A29;Economy;14.1
Micheal;3;MBI24;B11;Economy;30.1
Julia;72;MBI24;E7;Economy;16.6
Benjamin;33;MBI24;B1;Economy;12.5
Alexander;43;MBI24;D25;Economy;27.9
David;17;MBI24;F10;Economy;12.4
Sarah;12;MBI24;C22;Economy;9.9
Thomas;12;MBI24;C31;Economy;27.7
Sarah;80;MBI24;D14;Economy;10.6
Sarah;42;MBI24;E30;Economy;28.2
Joshua;3;MBI24;A31;Economy;2.4
Mateo;26;MBI24;D9;Economy;24.8
Lucas;70;MBI24;E3;Economy;9.2
Sebastian;45;MBI24;A30;Economy;31.0
Julia;55;MBI24;B12;Economy;6.5
William;2;MBI24;A19;Economy;21.9
Micheal;75;MBI24;C31;Economy;2.2
Joshua;28;MBI24;A2;Economy;4.8
Oliver;54;MBI24;B28;Economy;2.6
Liam;44;MBI24;D6;Economy;8.7
Julia;78;MBI24;A12;Economy;19.2
Benjamin;71;MBI24;B1;Economy;31.9
Lucas;41;MBI24;E21;Economy;32.6
Andrew;74;MBI24;A30;Economy;22.2
Alexander;10;MBI24;D7;Economy;1.9
Micheal;45;MBI24;E12;Economy;2.5
Joshua;78;MBI24;D29;Economy;10.7
William;56;MBI24;B21;Economy;19.8
David;8;MBI24;D18;Economy;22.6
Sophia;81;MBI24;A32;Economy;28.1
Oliver;25;MBI24;E6;Economy;2.0
Oliver;67;MBI24;B29;Economy;27.0
Lucas;37;MBI24;A29;Economy;5.8
Joshua;2;MBI24;C12;Economy;27.7
William;17;MBI24;B17;Economy;31.7
Andrew;67;MBI24;B30;Economy;5.7
Sarah;53;MBI24;F6;Economy;12.4
Anna;37;MBI24;F24;Economy;30.5
Oliver;17;MBI24;A6;Economy;13.3
Lucas;14;MBI24;C27;Economy;18.9
Sarah;21;MBI24;D5;Economy;23.2
Sebastian;79;MBI24;C12;Economy;3.3
David;75;MBI24;C9;Economy;3.1
Thomas;28;MBI24;E18;Economy;6.3
Alexander;65;MBI24;D23;Economy;23.8
Julia;36;MBI24;D30;Economy;19.0
Sophia;51;MBI24;F1;Economy;11.4
Alexander;79;MBI24;D18;Economy;28.8
Lucas;81;MBI24;D23;Economy;16.4
Thomas;20;MBI24;E25;Economy;22.3
Alexander;7;MBI24;D27;Economy;12.5
Mia;46;MBI24;D8;Economy;27.9
Sebastian;65;MBI24;E21;Economy;10.2
Sophia;40;MBI24;B27;Economy;15.9
Liam;22;MBI24;D12;Economy;30.8
Sarah;5;MBI24;B31;Economy;2.6
David;71;MBI24;C20;Economy;15.6
Mateo;51;MBI24;D32;Economy;3.7
Lucas;39;MBI24;E29;Economy;28.5
Liam;55;MBI24;F26;Economy;29.5
David;63;MBI24;B23;Economy;15.2
Anna;40;MBI24;E32;Economy;24.4
Mia;63;MBI24;D3;Economy;16.0
Sarah;24;MBI24;D17;Economy;19.8
Daniel;14;MBI24;A5;Economy;28.8
Lucas;34;MBI24;F29;Economy;18.0
Anna;29;MBI24;B7;Economy;3.6
Aurora;81;MBI24;C20;Economy;13.4
Oliver;41;MBI24;B6;Economy;17.3
Andrew;28;MBI24;A21;Economy;24.5
Oliver;84;MBI24;D3;Economy;28.1
Mia;69;MBI24;E24;Economy;4.7
Andrew;86;MBI24;B3;Economy;11.8
David;68;MBI24;E16;Economy;14.5
Sebastian;55;MBI24;C19;Economy;5.5
Liam;53;MBI24;D6;Economy;22.4
Daniel;48;MBI24;D25;Economy;12.7
Mateo;13;MBI24;B23;Economy;5.4
Sophia;20;MBI24;A28;Economy;18.1
Lucas;76;MBI24;A5;Economy;28.5
Alexander;76;MBI24;B8;Economy;20.5
Andrew;8;MBI24;E12;Economy;13.2
Joshua;25;MBI24;D20;Economy;23.2
Thomas;76;MBI24;F16;Economy;7.2
Daniel;27;MBI24;D32;Economy;12.7
Benjamin;19;MBI24;B31;Economy;4.4
Julia;48;MBI24;A10;Economy;14.5
Aurora;39;MBI24;E8;Economy;1.8
Sebastian;28;MBI24;E25;Economy;3.9
David;47;MBI24;F17;Economy;26.7
Thomas;48;MBI24;A13;Economy;5.2
Mia;64;MBI24;B13;Economy;5.8
Sarah;83;MBI24;E12;Economy;27.2
Andrew;81;MBI24;B10;Economy;21.0
Julia;57;MBI24;E14;Economy;3.2
Mateo;48;MBI24;C7;Economy;11.8
Anna;27;MBI24;A24;Economy;12.6
Andrew;23;MBI24;A23;Economy;8.2
Daniel;36;MBI24;B22;Economy;24.7
Mia;71;MBI24;E21;Economy;6.1
Lucas;20;MBI24;B32;Economy;9.7
Sophia;73;MBI24;E32;Economy;32.6
Oliver;2;MBI24;D9;Economy;6.8
Benjamin;81;MBI24;E29;Economy;18.9
Sophia;67;MBI24;F21;Economy;11.6
Julia;34;MBI24;F9;Economy;27.5
Lucas;50;MBI24;C27;Economy;15.8
Thomas;36;MBI24;C20;Economy;8.7
Julia;3;MBI24;A2;Economy;13.1
Alexander;82;MBI24;E18;Economy;17.2
Benjamin;28;MBI24;E31;Economy;25.3
Benjamin;6;MBI24;E30;Economy;3.6
Joshua;69;MBI24;F26;Economy;27.7
Thomas;59;MBI24;F31;Economy;5.7
Mia;5;MBI24;A5;Economy;1.9
Sarah;70;MBI24;F8;Economy;28.7
Oliver;39;MBI24;B17;Economy;23.3
Sarah;10;MBI24;A9;Economy;31.5
Sarah;59;MBI24;A23;Economy;4.6
Oliver;23;MBI24;D20;Economy;3.8
Alexander;1;MBI24;B2;Economy;29.1
Julia;21;MBI24;D7;Economy;19.7
Joshua;82;MBI24;B15;Economy;16.0
Sebastian;19;MBI24;A5;Economy;13.8
Joshua;48;MBI24;D32;Economy;18.4
Thomas;29;MBI24;B11;Economy;23.9
Benjamin;75;MBI24;E6;Economy;20.9
Joshua;23;MBI24;A12;Economy;16.3
Thomas;36;MBI24;F5;Economy;24.3
Thomas;87;MBI24;A16;Economy;20.7
Oliver;19;MBI24;C20;Economy;29.9
Daniel;57;MBI24;D26;Economy;9.9
Mateo;69;MBI24;F25;Economy;20.3
Anna;63;MBI24;C3;Economy;18.7
Sarah;79;MBI24;C29;Economy;24.2
Mia;78;MBI24;D32;Economy;15.4
William;18;MBI24;C4;Economy;5.9
Aurora;51;MBI24;F1;Economy;24.0
Liam;84;MBI24;C8;Economy;30.0
Sophia;80;MBI24;D24;Economy;17.1
Anna;49;MBI24;B4;Economy;14.3
David;35;MBI24;F20;Economy;32.4
William;65;MBI24;F26;Economy;9.2
David;19;MBI24;E19;Economy;6.6
Thomas;11;MBI24;B13;Economy;20.2
Benjamin;14;MBI24;A12;Economy;28.7
Andrew;83;MBI24;D26;Economy;28.8
Sophia;7;MBI24;F30;Economy;31.7
Mia;27;MBI24;B23;Economy;19.9
Aurora;17;MBI24;C25;Economy;9.2
Lucas;10;MBI24;C20;Economy;20.4
Anna;9;MBI24;F11;Economy;11.1
Oliver;18;II24;F25;Economy;23.9
Lucas;64;II24;E16;Economy;31.4
Andrew;73;II24;A1;Economy;28.1
William;36;II24;B11;Economy;24.3
Thomas;25;II24;D6;Economy;3.4
Daniel;67;II24;F24;Economy;32.7
David;86;II24;A9;Economy;15.0
Micheal;71;II24;F20;Economy;2.4
Micheal;41;II24;C1;Economy;2.3
Benjamin;11;II24;E18;Economy;29.7
Daniel;85;II24;A16;Economy;26.1
Joshua;39;II24;C11;Economy;20.0
Sarah;84;II24;A6;Economy;29.0
Alexander;87;II24;A11;Economy;11.4
Alexander;79;II24;E32;Economy;6.3
Daniel;67;II24;F12;Economy;31.8
Sophia;65;II24;F24;Economy;20.8
Mateo;85;II24;F23;Economy;16.8
Julia;2;II24;D31;Economy;6.0
Sarah;11;II24;B26;Economy;3.3
Alexander;43;II24;F13;Economy;2.4
Andrew;73;II24;C24;Economy;13.3
Daniel;31;II24;D22;Economy;3.4
Benjamin;77;II24;D32;Economy;12.5
David;70;II24;A10;Economy;4.3
Sarah;16;II24;A5;Economy;20.4
Liam;80;II24;E12;Economy;12.6
David;32;II24;B11;Economy;9.7
Anna;59;II24;B25;Economy;9.7
Sebastian;1;II24;D27;Economy;12.8
Andrew;87;II24;E27;Economy;1.9
Andrew;75;II24;F18;Economy;12.7
Julia;63;II24;A16;Economy;21.7
Liam;40;II24;F4;Economy;5.5
Joshua;76;II24;B9;Economy;3.9
Thomas;13;II24;D17;Economy;18.8
Daniel;38;II24;E12;Economy;32.4
Aurora;30;II24;C29;Economy;29.2
Liam;37;II24;D22;Economy;4.0
Liam;55;II24;C29;Economy;21.4
Aurora;24;II24;A6;Economy;13.6
Sophia;45;II24;F18;Economy;18.3
Aurora;25;II24;D9;Economy;11.5
Mateo;56;II24;D17;Economy;31.5
Joshua;36;II24;F19;Economy;2.8
Liam;9;II24;F16;Economy;13.5
Andrew;10;II24;A7;Economy;7.1
William;19;II24;E25;Economy;14.6
Mia;31;II24;C15;Economy;3.3
Benjamin;12;II24;E6;Economy;17.7
Anna;43;II24;D8;Economy;8.4
Daniel;32;II24;F21;Economy;13.0
Sophia;33;II24;F29;Economy;2.8
Mateo;19;II24;B8;Economy;3.5
Julia;5;II24;D21;Economy;15.3
Sophia;51;II24;C16;Economy;26.7
Micheal;54;II24;C19;Economy;8.8
Mateo;4;II24;A26;Economy;11.2
Lucas;50;II24;B4;Economy;23.0
David;7;II24;C31;Economy;26.6
Sebastian;58;II24;F10;Economy;19.1
Micheal;28;II24;C32;Economy;10.6
Anna;33;II24;B3;Economy;16.3
Sarah;46;II24;C12;Economy;26.0
Julia;67;II24;A18;Economy;16.7
Alexander;59;II24;A5;Economy;21.0
Mia;2;II24;D19;Economy;30.9
William;35;II24;F5;Economy;31.0
Anna;86;II24;A3;Economy;17.4
Joshua;12;II24;C13;Economy;16.5
Joshua;14;II24;E16;Economy;17.6
Aurora;88;II24;C15;Economy;24.2
Liam;33;II24;C29;Economy;18.5
Liam;11;II24;F8;Economy;20.1
Mia;72;II24;A29;Economy;6.7
Liam;20;II24;D26;Economy;22.0
Andrew;23;II24;B23;Economy;31.4
Joshua;9;II24;B19;Economy;6.3
Mia;38;II24;C29;Economy;28.7
Joshua;37;II24;F19;Economy;4.3
Micheal;85;II24;D2;Economy;11.5
Julia;85;II24;E18;Economy;19.9
Andrew;14;II24;F19;Economy;24.4
Julia;83;II24;B17;Economy;17.0
Joshua;20;II24;D3;Economy;26.9
Micheal;4;II24;A5;Economy;17.7
Sarah;54;II24;D7;Economy;25.7
William;51;II24;B28;Economy;24.4
Sophia;18;II24;B2;Economy;28.7
Thomas;30;II24;F4;Economy;23.2
Andrew;43;II24;D30;Economy;4.9
Micheal;56;II24;F15;Economy;25.8
Liam;56;II24;D19;Economy;16.7
Mateo;62;II24;E32;Economy;3.9
Micheal;8;II24;E25;Economy;24.6
Sophia;82;II24;C12;Economy;18.3
Lucas;69;II24;F5;Economy;5.3
Aurora;38;II24;E4;Economy;12.3
Mia;39;II24;B9;Economy;14.6
Andrew;40;II24;D10;Economy;32.2
David;84;II24;D30;Economy;30.2
Andrew;40;II24;A16;Economy;6.5
Mia;4;II24;E20;Economy;2.9
Benjamin;45;II24;D1;Economy;9.5
David;84;II24;B32;Economy;24.8
David;59;II24;C28;Economy;19.4
Aurora;17;II24;D32;Economy;2.3
Sarah;74;II24;B17;Economy;27.0
Julia;9;II24;F7;Economy;23.4
Thomas;33;II24;B12;Economy;5.7
Aurora;65;II24;C30;Economy;15.4
Oliver;61;II24;D4;Economy;10.8
Alexander;64;II24;A30;Economy;18.6
Mateo;24;II24;A20;Economy;5.9
Mia;29;II24;E9;Economy;9.0
Alexander;64;II24;C14;Economy;26.8
Mia;73;II24;D23;Economy;25.8
Aurora;68;II24;B1;Economy;19.4
Andrew;42;II24;D32;Economy;11.2
Micheal;69;II24;A20;Economy;16.6
Anna;59;II24;D32;Economy;21.4
Oliver;88;II24;D25;Economy;26.3
Benjamin;60;II24;C15;Economy;21.5
Sophia;69;II24;C8;Economy;6.9
Aurora;11;II24;C7;Economy;25.2
Micheal;39;II24;E10;Economy;3.6
Andrew;76;II24;A21;Economy;6.7
Alexander;27;II24;D13;Economy;29.5
Alexander;42;II24;A16;Economy;29.6
Thomas;57;II24;E20;Economy;16.0
Liam;31;II24;F29;Economy;6.3
Benjamin;60;II24;A21;Economy;16.1
Mateo;70;II24;F23;Economy;24.3
Aurora;64;II24;F14;Economy;11.9
Thomas;76;II24;D1;Economy;24.3
Lucas;25;II24;E13;Economy;4.1
Oliver;12;II24;B16;Economy;17.7
Lucas;33;II24;E15;Economy;31.3
David;13;II24;F13;Economy;21.0
Andrew;28;II24;B13;Economy;23.1
Anna;47;II24;A21;Economy;30.8
Mia;37;II24;E3;Economy;5.9
Mateo;63;II24;C19;Economy;32.1
Anna;78;II24;A12;Economy;27.9
Joshua;63;II24;F28;Economy;29.2
Lucas;34;II24;A21;Economy;18.8
Lucas;65;II24;C9;Economy;2.5
Aurora;28;II24;E10;Economy;8.9
Anna;27;II24;B16;Economy;16.9
Aurora;9;II24;F7;Economy;9.0
Liam;73;II24;A20;Economy;21.0
Liam;56;II24;B7;Economy;9.5
Mia;28;II24;F25;Economy;31.3
Daniel;47;II24;C8;Economy;29.9
Mateo;62;II24;C11;Economy;32.4
Alexander;45;II24;B6;Economy;13.5
Lucas;34;II24;A24;Economy;21.6
Benjamin;41;II24;D6;Economy;17.2
Anna;54;II24;E1;Economy;16.7
David;70;II24;F5;Economy;12.0
Benjamin;25;II24;B32;Economy;15.5
Micheal;58;II24;E18;Economy;13.8
Micheal;5;II24;A27;Economy;16.4
Alexander;54;II24;C26;Economy;19.7
Andrew;7;II24;C25;Economy;3.6
Sebastian;29;II24;B19;Economy;10.3
Alexander;17;II24;A27;Economy;31.3
William;18;II24;C11;Economy;18.1
Andrew;60;II24;E32;Economy;9.6
David;30;II24;B11;Economy;14.9
Lucas;65;II24;D28;Economy;21.6
Daniel;76;II24;E10;Economy;16.3
Alexander;48;II24;A27;Economy;22.6
Joshua;17;II24;D26;Economy;11.1
Lucas;65;II24;A3;Economy;9.5
Mateo;24;II24;C9;Economy;18.6
Aurora;56;II24;F17;Economy;19.8
Daniel;86;II24;D13;Economy;16.4
Daniel;13;II24;D8;Economy;15.8
Daniel;63;II24;F2;Economy;2.8
William;13;II24;C15;Economy;12.6
Mia;64;II24;B9;Economy;16.7
Julia;43;II24;C13;Economy;8.0
Mia;31;II24;F16;Economy;20.1
Anna;7;II24;C28;Economy;2.0
David;17;II24;D30;Economy;16.6
Benjamin;5;II24;E21;Economy;11.1
Sarah;16;II24;B15;Economy;25.4
David;40;II24;E13;Economy;26.1
Aurora;87;II24;D26;Economy;10.4
David;27;II24;A13;Economy;27.4
Micheal;20;II24;F27;Economy;7.7
Julia;29;II24;D2;Economy;11.8
Aurora;26;II24;D29;Economy;15.9
Alexander;17;II24;E2;Economy;18.4
Lucas;89;II24;A1;Economy;7.4
Thomas;49;II24;F23;Economy;12.0
Sebastian;58;II24;B22;Economy;23.0
Micheal;88;II24;D1;Economy;28.5
David;34;II24;E12;Economy;19.6
Micheal;15;II24;A6;Economy;9.0
Liam;47;II24;D8;Economy;17.1
Alexander;53;II24;F7;Economy;27.2
Andrew;67;II24;E30;Economy;23.7
Sarah;60;II24;B5;Economy;31.1
Mateo;76;II24;E8;Economy;29.5
Sophia;15;II24;E32;Economy;14.6
Oliver;38;II24;B11;Economy;18.5
Oliver;6;II24;F12;Economy;8.7
Daniel;73;II24;D31;Economy;16.0
Oliver;60;II24;C3;Economy;11.3
Benjamin;70;II24;E13;Economy;15.7
Anna;5;II24;A20;Economy;7.9
Julia;20;II24;A12;Economy;10.1
Mateo;34;II24;F20;Economy;13.0
Julia;51;II24;C12;Economy;9.5
Thomas;35;II24;B20;Economy;11.1
Sophia;13;II24;C23;Economy;10.4
Lucas;80;II24;B21;Economy;21.7
Daniel;50;II24;C17;Economy;26.4
Daniel;55;II24;E17;Economy;20.8
Mia;46;II24;A23;Economy;4.3
Joshua;80;II24;B20;Economy;6.1
Daniel;65;II24;E21;Economy;20.0
Mia;57;II24;E27;Economy;25.8
Sarah;20;II24;B2;Economy;27.8
Mia;34;II24;C25;Economy;6.0
Joshua;54;II24;C30;Economy;17.0
Mateo;7;II24;D28;Economy;32.3
Mia;57;II24;D16;Economy;2.0
Benjamin;89;II24;E24;Economy;31.1
Micheal;41;II24;A1;Economy;10.6
Mateo;84;II24;A5;Economy;6.0
Anna;58;II24;D4;Economy;13.8
Anna;84;II24;B9;Economy;28.8
Lucas;38;II24;B23;Economy;21.9
Aurora;29;II24;E9;Economy;12.5
Sophia;51;II24;B19;Economy;25.3
David;63;II24;B29;Economy;7.5
Thomas;8;II24;A16;Economy;11.8
Benjamin;24;II24;C2;Economy;9.5
Micheal;13;II24;E5;Economy;22.1
Julia;43;II24;F32;Economy;5.3
Benjamin;20;II24;F19;Economy;28.6
David;42;II24;F3;Economy;29.1
Joshua;11;II24;F19;Economy;18.1
Aurora;81;II24;E3;Economy;23.4
Julia;24;II24;F12;Economy;18.1
Andrew;22;II24;E18;Economy;25.1
Julia;52;II24;A22;Economy;2.6
Oliver;76;II24;C25;Economy;14.2
Micheal;74;II24;E11;Economy;12.2
Liam;22;II24;C19;Economy;25.2
Sebastian;64;II24;D22;Economy;11.3
William;25;II24;F20;Economy;32.2
Joshua;72;II24;C3;Economy;3.6
Mia;68;II24;C23;Economy;22.2
Oliver;42;II24;F30;Economy;14.9
Sebastian;61;II24;E24;Economy;30.6
Micheal;44;II24;C32;Economy;21.9
Micheal;27;II24;D15;Economy;25.4
Sophia;9;II24;D14;Economy;27.4
Lucas;58;II24;C25;Economy;24.8
Lucas;14;II24;C29;Economy;2.4
Daniel;1;II24;D27;Economy;19.5
Aurora;31;II24;A16;Economy;2.2
Sarah;41;II24;E8;Economy;17.9
Liam;68;II24;E1;Economy;27.1
Benjamin;1;II24;C31;Economy;30.0
Andrew;14;II24;A20;Economy;31.3
Sebastian;2;II24;F21;Economy;3.3
Micheal;55;II24;E31;Economy;18.4
Andrew;89;II24;F16;Economy;6.9
